,TargetB,ID,TargetD,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemIncomeGroup,DemMedHomeValue,DemPctVeterans
56,1,00000931,12.0,9,30,5,9,7.0,5.78,5.1,5.8,11,64,24,46,85,10,21,32,A,1,49,50.0,M,H,1.0,64600,27
57,1,00000959,10.0,3,10,3,8,15.0,10.0,7.3,10.0,24,88,10,27,71,4,12,27,A,1,28,53.0,F,H,7.0,58600,32
58,1,00000971,8.0,10,20,6,7,8.0,8.2,7.5,8.83,4,63,24,44,68,11,21,27,S,1,39,57.0,F,H,6.0,69500,35
59,1,00000987,3.0,9,21,6,10,4.0,3.33,3.76,4.0,7,82,28,45,83,12,20,31,S,1,14,54.0,F,H,7.0,214000,38
60,1,00001006,21.0,7,35,4,16,15.0,15.29,15.14,15.75,6,127,31,53,115,11,22,44,S,1,46,66.0,F,H,5.0,38500,25
61,0,00001007,,8,46,7,25,9.0,7.75,6.0,7.71,17,131,23,42,116,8,18,45,S,1,51,66.0,F,H,5.0,26600,29
62,1,00001012,15.0,7,28,5,17,13.0,15.43,12.21,16.6,5,122,28,48,114,11,22,45,S,1,35,75.0,M,H,5.0,113300,32
63,1,00001034,12.0,7,22,4,8,15.0,13.29,12.32,12.0,18,75,25,46,96,11,22,35,A,0,23,,M,H,4.0,141600,55
64,1,00001042,8.0,5,16,3,9,9.0,10.6,9.19,13.0,15,105,11,30,67,4,13,25,A,1,34,,M,H,5.0,82600,45
65,1,00001054,8.0,5,20,2,11,9.0,7.8,6.3,7.0,19,129,12,29,75,5,12,30,S,1,38,,F,U,,116100,17
66,1,00001064,5.0,7,25,2,15,5.0,8.57,9.36,10.0,7,121,30,52,108,11,22,41,S,1,14,69.0,M,U,,143700,24
67,1,00001068,5.0,6,43,6,25,5.0,5.83,6.16,5.83,18,126,19,40,100,5,16,34,S,1,14,66.0,F,H,6.0,352800,36
68,1,00001092,15.0,9,32,6,15,10.0,10.56,9.84,11.67,6,76,27,48,100,10,20,34,A,1,03,69.0,M,H,6.0,581700,27
69,1,00001101,20.0,8,24,4,13,15.0,14.88,11.58,13.75,9,92,27,47,104,11,22,37,A,1,43,55.0,F,H,4.0,48300,33
70,1,00001102,11.0,10,33,6,16,12.0,13.6,11.33,14.5,5,131,29,48,105,11,22,40,S,1,00,86.0,M,U,4.0,88200,0
71,0,00001154,,2,3,2,2,20.0,12.5,11.67,12.5,24,59,10,26,29,4,10,10,A,0,08,78.0,F,U,,113100,19
72,0,00001196,,7,20,5,9,5.0,4.57,4.1,4.4,16,57,22,42,79,11,22,33,A,1,01,32.0,M,U,1.0,134800,0
73,1,00001249,32.0,5,13,3,7,11.0,11.4,9.38,13.33,7,69,23,44,88,11,21,35,A,1,20,,M,U,,143500,43
74,1,00001254,30.0,1,3,0,1,25.0,25.0,25.0,,26,56,11,27,36,4,4,14,A,0,14,49.0,M,H,5.0,110200,22
75,0,00001264,,1,2,1,1,15.0,15.0,10.0,15.0,23,56,8,19,24,3,8,9,N,0,28,71.0,M,H,2.0,68900,41
76,1,00001292,15.0,3,5,2,2,7.0,9.0,7.6,10.0,18,57,15,31,40,6,14,15,A,1,29,47.0,M,H,5.0,69200,44
77,1,00001293,2.0,5,14,3,8,5.0,4.8,5.29,4.33,20,92,13,34,71,6,16,27,A,1,18,75.0,F,H,2.0,91700,22
78,1,00001322,14.0,4,14,2,5,14.0,13.5,12.43,13.0,7,73,25,46,94,11,21,36,A,1,05,54.0,F,U,3.0,37600,25
79,0,00001329,,3,4,1,1,14.0,13.33,11.25,10.0,17,55,17,30,36,6,13,13,N,0,00,65.0,M,U,6.0,74500,0
80,0,00001334,,1,3,0,1,40.0,40.0,40.0,,25,54,12,29,39,6,6,17,A,0,24,,M,U,,113800,35
81,0,00001348,,4,8,2,3,10.0,10.5,9.63,10.0,15,57,18,35,62,6,14,21,A,0,01,,U,U,,275000,32
82,1,00001357,15.0,10,21,6,9,18.0,13.9,10.67,14.5,15,126,29,51,102,11,22,41,S,1,17,40.0,F,H,5.0,88900,25
83,1,00001371,35.0,3,5,1,2,20.0,20.0,20.0,20.0,19,53,14,33,50,6,15,20,A,0,13,75.0,F,U,,275300,30
84,0,00001396,,5,24,3,12,12.0,17.4,14.67,15.67,17,112,16,35,92,6,16,34,S,1,17,49.0,M,H,1.0,73000,38
85,0,00001397,,4,10,3,6,15.0,11.75,10.4,11.67,17,57,24,43,81,11,21,32,A,0,12,51.0,M,H,4.0,102400,23
86,0,00001400,,8,29,6,18,9.0,8.38,5.41,7.0,24,131,17,36,88,6,17,36,S,1,11,,M,H,7.0,180500,33
87,0,00001431,,8,17,3,5,19.0,10.38,7.94,11.67,15,52,23,44,69,9,19,27,A,1,49,76.0,M,H,2.0,41200,33
88,1,00001442,24.0,8,19,6,10,25.0,20.13,18.42,20.17,6,53,32,51,78,11,21,26,A,1,24,38.0,F,H,5.0,160200,25
89,0,00001480,,4,10,1,3,35.0,33.75,33.0,35.0,7,57,20,39,69,9,19,28,A,1,09,,F,U,1.0,150700,22
90,0,00001485,,2,7,2,3,23.0,19.5,11.21,19.5,17,56,14,36,64,6,17,25,A,0,24,47.0,F,H,3.0,193000,41
91,0,00001502,,1,4,0,2,15.0,15.0,11.75,,18,57,12,23,45,4,4,16,A,0,14,51.0,F,H,7.0,176500,30
92,0,00001505,,5,8,4,4,10.0,14.0,12.88,15.0,19,52,25,46,69,11,21,26,A,0,44,,M,U,,85600,39
93,1,00001544,10.0,1,4,0,2,20.0,20.0,13.0,,18,52,14,30,45,6,6,17,A,0,11,45.0,F,H,7.0,326000,26
94,1,00001549,50.0,1,3,1,1,50.0,50.0,50.0,50.0,24,49,13,28,35,6,13,12,A,0,13,81.0,M,U,,586300,41
95,1,00001556,25.0,1,4,0,1,15.0,15.0,12.25,,15,49,10,25,39,2,2,12,E,0,25,49.0,F,U,1.0,216700,17
96,1,00001617,15.0,6,11,5,7,11.0,11.67,10.18,12.0,6,45,28,47,63,11,21,24,A,1,13,75.0,F,H,4.0,597000,38
97,0,00001635,,1,8,0,5,15.0,15.0,7.75,,26,80,11,30,72,4,4,26,A,1,14,47.0,M,U,,345300,26
98,1,00001646,10.0,3,16,1,8,10.0,8.33,7.56,10.0,17,103,14,32,85,5,13,34,A,1,30,50.0,M,H,5.0,67500,37
99,1,00001673,40.0,5,32,4,20,14.0,12.8,9.69,13.25,21,127,22,42,107,11,22,46,A,1,35,67.0,F,H,5.0,103300,19
100,1,00001685,20.0,4,4,3,3,26.0,14.0,14.0,15.33,22,33,17,34,38,7,15,17,A,0,46,67.0,U,U,,113000,36
101,1,00001722,10.0,7,26,4,13,20.0,14.29,13.38,12.5,5,120,24,45,103,10,20,37,A,1,24,45.0,M,H,7.0,166800,16
102,1,00001731,12.0,8,11,3,4,12.0,11.38,11.82,13.0,6,33,29,44,55,11,18,21,A,1,13,79.0,M,H,5.0,198200,48
103,0,00001748,,2,3,1,2,27.0,26.0,22.33,25.0,19,33,18,36,48,7,15,18,A,0,27,74.0,M,H,2.0,40600,36
104,0,00001765,,6,18,4,11,10.0,5.0,4.67,4.5,18,130,10,27,60,4,12,25,S,1,26,,M,H,2.0,226200,26
105,1,00001779,12.5,4,8,3,6,17.0,14.25,13.0,12.33,7,45,20,39,71,8,17,27,A,1,41,,M,U,,41700,0
106,0,00001789,,10,25,6,11,10.0,10.0,9.0,10.0,17,65,11,31,64,5,16,26,S,1,33,79.0,M,U,1.0,61300,49
107,1,00001799,10.0,8,21,6,12,9.0,7.25,9.24,7.67,4,75,25,46,88,11,21,32,A,1,27,,M,H,5.0,86000,35
108,0,00001818,,2,11,1,6,15.0,18.0,10.73,20.0,18,57,22,43,73,8,18,28,A,1,36,57.0,F,U,5.0,75700,42
109,0,00001832,,6,8,5,7,27.0,21.67,22.5,24.0,17,32,26,42,56,11,19,22,A,1,00,,M,U,,74500,0
110,0,00001889,,6,13,6,8,10.0,10.67,8.69,10.67,6,32,28,43,56,11,18,21,A,1,40,57.0,F,H,5.0,116200,40
111,1,00001899,12.5,4,9,3,6,12.0,10.75,10.22,12.67,15,85,14,31,67,5,12,25,A,1,18,49.0,M,H,5.0,151900,24
112,0,00001913,,4,7,3,3,20.0,17.5,15.71,16.67,7,32,20,36,45,8,16,19,A,1,08,73.0,M,U,2.0,59500,30
113,1,00001920,10.0,7,31,4,12,10.0,9.0,6.92,8.25,6,123,25,44,98,9,19,35,A,1,09,81.0,M,H,4.0,103200,33
114,1,00001925,35.0,3,3,2,2,25.0,18.33,18.33,20.0,23,33,17,32,44,7,14,17,A,0,35,72.0,M,H,5.0,346100,41
115,1,00001927,15.0,2,6,1,5,15.0,15.0,13.33,15.0,19,87,16,35,73,6,14,25,A,0,35,39.0,F,U,3.0,113300,34
116,0,00001928,,8,15,7,10,5.0,4.88,4.53,5.14,22,57,12,30,47,6,17,21,A,1,38,81.0,F,H,2.0,110400,36
117,1,00001959,50.0,3,3,2,2,30.0,35.0,35.0,37.5,15,29,24,36,41,9,14,14,F,0,15,39.0,F,H,7.0,267000,16
118,0,00001975,,4,4,2,2,12.0,12.0,12.0,13.0,15,29,23,36,42,8,14,13,N,0,46,61.0,M,H,4.0,69400,38
119,0,00001985,,2,34,2,21,11.0,10.5,10.03,10.5,24,125,16,35,95,7,16,35,A,1,35,51.0,M,H,5.0,140700,31
120,1,00001986,5.0,8,29,3,15,6.0,6.75,5.55,7.67,6,128,31,51,111,13,24,45,S,1,02,75.0,F,U,,136800,38
121,1,00002020,7.0,9,40,2,18,8.0,8.67,7.35,9.0,11,129,25,45,106,11,21,42,S,1,14,73.0,F,U,6.0,355600,37
122,0,00002058,,5,6,3,3,15.0,12.0,12.5,11.67,16,33,15,30,42,4,10,13,E,1,43,,M,H,6.0,60500,32
123,0,00002063,,6,7,2,3,20.0,14.0,13.43,11.0,17,29,25,40,52,11,18,20,A,0,31,57.0,F,U,1.0,54300,43
124,1,00002081,7.0,11,49,7,23,8.0,7.82,7.84,7.0,4,106,25,44,88,9,19,36,A,1,00,,F,U,3.0,87100,0
125,1,00002085,20.0,6,13,4,8,20.0,19.67,19.31,20.75,7,64,27,49,85,11,22,31,A,1,27,52.0,M,H,4.0,85200,41
126,0,00002087,,9,15,4,5,5.0,6.44,6.27,5.5,15,40,26,44,62,11,20,23,A,1,39,,M,U,5.0,64900,29
127,1,00002151,25.0,6,40,4,19,25.0,24.17,20.8,24.0,18,110,25,46,98,11,22,36,S,1,31,47.0,M,H,5.0,112600,0
128,1,00002153,8.0,6,31,5,19,9.0,8.83,7.55,9.2,8,126,26,46,93,10,20,39,S,1,18,73.0,M,H,2.0,83900,22
129,1,00002154,15.0,5,15,5,13,12.0,16.6,19.4,16.6,17,112,25,42,77,11,20,33,A,1,46,77.0,M,H,2.0,65500,43
130,1,00002159,9.0,3,15,2,11,10.0,12.33,9.27,10.0,5,105,27,46,81,11,21,34,A,1,49,78.0,F,H,3.0,19800,22
131,0,00002162,,4,13,2,8,7.0,10.5,9.69,10.0,19,93,19,35,78,9,16,28,A,1,36,,U,U,2.0,46300,36
132,1,00002170,7.0,7,28,7,19,8.0,8.57,7.61,8.57,11,97,29,50,90,11,22,35,S,1,38,67.0,F,H,3.0,92300,29
133,1,00002194,4.0,7,15,6,10,4.0,4.43,4.07,4.5,12,63,21,40,59,9,19,25,S,1,00,37.0,M,H,7.0,100600,0
134,1,00002231,14.0,9,10,7,8,15.0,12.11,11.4,11.71,11,38,21,41,45,8,18,18,S,1,36,24.0,M,H,3.0,56400,33
135,1,00002235,12.0,6,17,5,9,25.0,16.67,10.47,16.0,6,69,26,47,76,11,22,29,S,1,29,65.0,M,H,6.0,87800,53
136,0,00002238,,5,16,4,12,7.0,12.8,9.0,14.25,15,110,24,43,86,11,22,35,S,1,44,67.0,M,U,1.0,97000,35
137,0,00002242,,2,3,2,3,10.0,12.5,18.33,12.5,20,24,23,34,40,11,16,15,N,0,42,,F,H,4.0,86300,37
138,1,00002262,12.5,7,36,6,20,3.0,7.86,6.53,7.67,12,126,23,43,96,9,20,37,S,1,02,57.0,F,H,5.0,177800,27
139,1,00002311,5.0,7,15,3,6,7.0,6.0,5.33,6.67,7,62,26,47,66,11,21,27,A,0,00,,M,U,,81700,0
140,1,00002315,11.0,2,14,2,9,10.0,8.0,12.93,8.0,5,123,17,27,51,7,12,18,A,0,45,,F,U,,25700,34
141,1,00002320,6.0,8,31,6,17,3.0,4.63,3.84,4.5,16,88,22,43,81,10,21,31,S,1,20,16.0,F,H,1.0,63400,32
142,1,00002321,25.0,4,15,3,14,25.0,26.25,38.67,25.0,9,113,25,45,95,11,22,35,S,1,18,66.0,M,U,,217000,20
143,0,00002339,,8,26,5,17,5.0,5.0,3.96,4.6,15,127,20,40,86,10,21,36,S,1,27,37.0,U,U,1.0,97600,30
144,1,00002365,9.0,9,14,7,8,4.0,5.0,4.57,5.57,12,53,26,44,60,11,20,23,A,1,35,43.0,M,U,5.0,140800,32
145,1,00002379,10.0,2,8,1,6,12.0,15.0,10.88,10.0,8,63,23,42,66,11,20,26,A,1,35,49.0,M,H,7.0,159600,24
146,1,00002396,5.0,2,3,1,1,10.0,7.5,8.33,10.0,18,21,16,21,21,5,7,6,N,0,36,,U,U,,58800,53
147,1,00002408,10.0,7,16,4,12,11.0,8.0,9.13,7.5,18,105,17,38,74,7,18,29,S,1,00,34.0,F,H,7.0,450000,0
148,1,00002415,25.0,2,2,1,1,25.0,17.5,17.5,10.0,16,20,22,27,27,10,12,12,F,0,13,42.0,F,H,6.0,550100,22
149,0,00002431,,4,11,2,8,5.0,14.75,15.0,7.5,8,89,22,43,72,10,20,29,A,1,53,83.0,M,H,7.0,33500,34
150,0,00002444,,2,13,1,9,25.0,17.5,10.46,25.0,16,128,27,38,85,10,14,35,A,1,46,82.0,M,U,2.0,74400,36
151,1,00002464,7.0,11,34,6,14,8.0,8.18,7.82,8.0,6,77,25,44,75,11,22,29,S,1,00,56.0,M,H,4.0,48100,0
152,1,00002490,3.0,11,31,6,14,3.0,4.18,3.36,4.33,7,128,16,37,74,7,18,31,S,1,39,68.0,M,U,1.0,62000,30
153,0,00002491,,5,15,0,4,14.0,10.0,14.47,,4,83,25,45,77,11,11,31,A,1,49,,F,U,,67800,22
154,1,00002499,5.0,5,14,0,4,5.0,6.8,5.64,,4,126,24,44,72,11,11,32,A,1,38,,F,H,5.0,81800,26
155,0,00002510,,3,3,1,2,17.0,16.67,16.67,18.0,13,20,22,27,27,8,10,10,F,0,07,68.0,M,H,6.0,95900,11
156,1,00002512,25.0,2,2,1,1,25.0,25.0,25.0,25.0,16,20,24,29,28,10,12,11,F,0,00,71.0,M,H,5.0,125000,0
157,1,00002519,10.0,7,9,5,5,10.0,9.29,9.44,11.0,6,33,26,44,48,11,20,18,A,0,18,,M,H,4.0,72000,30
158,0,00002525,,4,5,1,1,7.0,10.5,9.8,9.0,8,20,25,30,29,9,11,10,F,1,14,41.0,F,H,7.0,160100,23
159,0,00002567,,3,4,2,3,18.0,17.67,17.75,21.5,11,20,24,29,29,10,12,11,F,1,15,56.0,F,U,7.0,112500,36
160,1,00002583,5.0,9,16,5,8,5.0,4.78,4.75,4.6,14,75,24,44,62,10,19,25,A,1,12,75.0,F,H,5.0,108500,32
161,1,00002586,20.0,1,3,1,2,25.0,20.0,20.0,20.0,6,19,24,28,26,9,11,10,F,0,15,55.0,M,H,5.0,91600,19
162,1,00002596,28.0,4,6,2,4,20.5,18.88,18.42,15.0,6,23,22,29,30,8,11,10,N,0,00,,M,H,5.0,50500,0
163,0,00002609,,2,20,2,10,5.0,8.5,8.25,8.5,18,90,21,36,73,9,15,26,A,1,36,66.0,M,H,4.0,60000,32
164,0,00002615,,3,8,1,4,25.0,23.33,20.88,25.0,6,105,25,47,68,10,21,29,A,0,11,,F,H,5.0,90500,25
165,0,00002623,,3,4,2,2,35.0,28.33,27.5,30.0,6,21,26,35,35,11,16,14,N,1,10,69.0,F,H,1.0,39400,21
166,0,00002640,,2,3,1,1,7.0,15.0,12.33,5.0,10,20,23,30,29,10,13,12,F,0,17,,F,U,,140500,27
167,1,00002643,25.0,7,10,5,8,20.0,18.57,17.5,18.0,5,45,28,44,52,11,20,20,S,1,15,58.0,F,U,,212300,23
168,0,00002678,,9,25,9,19,5.0,5.0,4.68,5.0,9,78,24,42,71,10,21,29,S,1,21,73.0,F,U,4.0,51400,27
169,0,00002687,,8,31,7,21,3.0,6.5,6.23,6.43,8,126,25,45,92,9,19,36,S,1,22,72.0,F,H,4.0,62900,0
170,1,00002691,16.0,4,8,2,2,10.0,11.75,10.25,5.5,5,23,27,39,38,8,14,12,N,0,25,,U,U,,83400,35
171,0,00002693,,4,8,2,5,12.0,11.25,10.25,12.5,5,41,28,47,52,11,21,20,A,0,20,80.0,M,U,2.0,54400,39
172,1,00002757,10.0,4,17,3,6,5.0,9.0,8.35,8.67,17,76,24,45,71,11,21,28,S,1,09,35.0,F,U,3.0,77000,11
173,1,00002781,20.0,1,2,1,2,15.0,15.0,9.0,15.0,17,17,16,20,18,6,8,7,F,0,06,52.0,F,H,5.0,243200,23
174,1,00002796,25.0,2,2,2,2,10.0,15.0,15.0,15.0,17,24,19,29,27,8,12,11,N,0,44,,M,H,5.0,68200,38
175,0,00002798,,3,3,2,2,5.0,5.0,5.0,5.0,15,21,13,19,18,5,7,6,N,0,00,,F,U,,107300,0
176,1,00002809,25.0,2,13,2,11,10.0,13.5,10.46,13.5,17,130,22,32,69,9,13,29,A,1,24,29.0,F,H,7.0,121900,43
177,0,00002814,,3,4,2,2,10.0,7.33,8.0,6.0,15,24,24,33,32,10,14,13,N,1,21,72.0,F,H,1.0,44700,23
178,1,00002853,10.0,6,22,4,11,10.0,8.83,7.77,10.0,7,121,19,39,77,8,19,33,A,1,00,,F,U,,68200,0
179,1,00002861,7.0,7,28,5,12,5.0,10.43,7.79,9.8,8,112,21,43,83,8,19,33,S,1,18,60.0,M,U,2.0,81700,49
180,1,00002867,13.0,3,4,1,2,10.0,11.67,11.25,15.0,8,21,25,33,31,11,15,13,N,1,43,,F,U,,47600,38
181,0,00002868,,5,23,1,12,3.0,4.8,4.26,3.0,16,128,19,38,80,7,15,33,S,1,21,16.0,F,U,,160100,24
182,1,00002889,3.0,5,22,3,12,3.0,3.4,3.18,3.67,5,128,21,32,52,8,13,17,S,1,48,81.0,F,H,1.0,20800,29
183,1,00002935,25.0,1,4,1,1,20.0,50.0,22.5,50.0,10,17,28,33,32,5,7,6,F,0,00,,F,H,7.0,160900,0
184,0,00002941,,2,8,2,2,20.0,14.5,7.88,14.5,16,53,23,43,55,6,16,18,A,0,12,33.0,F,H,6.0,118100,32
185,1,00002950,2.0,2,20,0,5,5.0,8.0,4.85,,5,76,32,51,78,6,6,21,S,1,42,,M,H,2.0,71700,31
186,1,00002951,5.0,7,30,4,13,5.0,5.57,5.08,5.5,4,103,44,64,96,11,21,32,S,1,40,74.0,M,U,,133000,49
